Fiscal Year Closed,Release Month & Year,Closure Type,Race - Ethnicity,Sex,Age at Closure,Institution Name ,Convicting Offense,Convicting Offense Classification,Zip Code of Work Unit Region,Convicting Offense Description,Convicting Offense Type,Convicting Offense Subtype,Months Served
2018,08/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,43,Iowa Correctional Institution for Women,726.6(7),Aggravated Misdemeanor,,Child Endangerment/No Injury,Violent,Other Violent,7.76
2018,12/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,49,Newton Correctional Facility,"902.8,A",Felony - Enhancement to Original Penalty,,HABITUAL OFFENDER (PERSON),Other,Other Criminal,32.63
2018,10/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,32,North Central Correctional Facility,714.2(2),D Felony,,THEFT 2ND DEGREE,Property,Theft,16.64
2018,11/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,30,North Central Correctional Facility,321J.2(C),D Felony,,OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,18.78
2018,08/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,46,Fort Dodge Correctional Facility,"902.8,B",Felony - Enhancement to Original Penalty,,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal,21.91
2018,11/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,39,North Central Correctional Facility,321J.2(C),D Felony,,OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,15
2017,07/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,25,North Central Correctional Facility,713.6A,D Felony,"50579(42.394184, -94.640946)",BURGLARY 3RD DEGREE,Property,Burglary,8.72
2018,04/01/2018 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,29,Clarinda Correctional Facility,124.401(1)(c)(8),C Felony,,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Other Subst Sched I, II, III",Drug,Trafficking,5.79
2018,03/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,43,Clarinda Correctional Facility,713.5,C Felony,,BURGLARY 2ND DEGREE,Property,Burglary,16.38
2018,11/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,37,Mount Pleasant Correctional Facility,"902.8,B",Felony - Enhancement to Original Penalty,,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal,15.36
2018,09/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,58,Mount Pleasant Correctional Facility,321J.2(B),Aggravated Misdemeanor,,OPER VEH WH INT (OWI) / AGR MISD / 2ND OFF -,Public Order,OWI,5.76
2018,10/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,26,North Central Correctional Facility,708.2A(5),D Felony,,Domestic Abuse Assault Impeding Air/Blood Flow Causing Bodily Injury,Violent,Assault,11.64
2018,10/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,36,Mount Pleasant Correctional Facility,124.401(1)(c)(6),C Felony,,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,14.24
2018,12/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,45,North Central Correctional Facility,707.11,B Felony,,ATTEMPTED MURDER - 85%,Violent,Murder/Manslaughter,215.69
2018,11/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,31,North Central Correctional Facility,124.401(1)(b)(7),B Felony,,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,54.61
2018,02/01/2018 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,27,Fort Dodge Correctional Facility,124.401(1)(c)(3),C Felony,,"Proh. Acts - Mfg, Del, Consp or Poss w/Int. - Cocaine LT 10 gm",Drug,Trafficking,13.95
2018,03/01/2018 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,38,Newton Correctional Facility,908.5(2)B,D Felony,,SPECIAL SENTENCE REVOCATION - 2ND/SUB.,Other,Other Criminal,7.96
2018,08/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,27,Iowa Correctional Institution for Women,714.2(3),Aggravated Misdemeanor,,THEFT 3RD DEGREE,Property,Theft,3.22
2018,01/01/2018 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,35,Fort Dodge Correctional Facility,708.2A(4),D Felony,,DOMESTIC ABUSE ASSAULT - 3RD OR SUBSEQUENT OFFENSE,Violent,Assault,15.59
2018,04/01/2018 12:00:00 AM,Paroled to Detainer - Out of State,Black - Non-Hispanic,Male,21,Clarinda Correctional Facility,708.2A(2)(d),Aggravated Misdemeanor,,Domestic Abuse Assault Impeding Flow of Air/Blood,Violent,Assault,7.5
2018,07/01/2017 12:00:00 AM,Paroled to Detainer - Out of State,White - Non-Hispanic,Male,27,Clarinda Correctional Facility,714.2(2),D Felony,,THEFT 2ND DEGREE,Property,Theft,9.34
2018,12/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,27,North Central Correctional Facility,711.3,C Felony,,"ROBBERY 2ND DEGREE, 85%",Violent,Robbery,80.72
2018,10/01/2017 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,31,Mount Pleasant Correctional Facility,124.411,Felony - Enhancement to Original Penalty,,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,15.16
2018,10/01/2017 12:00:00 AM,Work Release Granted,White - Hispanic,Male,36,Newton Correctional Facility,124.401(1)(c)(6),C Felony,,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,6.64
2018,02/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,23,Fort Dodge Correctional Facility,713.6,D Felony,,ATTEMPTED BURGLARY 2ND DEGREE,Property,Burglary,58.39
2018,03/01/2018 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,34,Fort Dodge Correctional Facility,708.2A(3B),Aggravated Misdemeanor,,DOMESTIC ABUSE ASSAULT - 2ND OFFENSE,Violent,Assault,13.06
2018,08/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Female,27,Iowa Correctional Institution for Women,711.3,C Felony,,"ROBBERY 2ND DEGREE, 85%",Violent,Robbery,86.81
2018,03/01/2018 12:00:00 AM,Parole Granted,American Indian or Alaska Native - Non-Hispanic,Male,52,Fort Dodge Correctional Facility,"902.8,B",Felony - Enhancement to Original Penalty,,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal,12.2
2018,11/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,34,Iowa State Penitentiary,124.401(5)(c),D Felony,,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,9.61
2018,02/01/2018 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Female,20,Iowa Correctional Institution for Women,713.5,C Felony,,BURGLARY 2ND DEGREE,Property,Burglary,12.53
2018,11/01/2017 12:00:00 AM,Parole Granted,White - Hispanic,Male,48,Mount Pleasant Correctional Facility,321J.2(C),D Felony,,OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,8.22
2018,02/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,31,Fort Dodge Correctional Facility,715A.2(2)(a),D Felony,,FORGERY,Property,Forgery/Fraud,18.88
2018,09/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,29,Fort Dodge Correctional Facility,124.401(1)(c)(6),C Felony,,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,13.75
2018,07/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,50,Iowa Correctional Institution for Women,321J.2(C),D Felony,,OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,9.21
2018,07/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,66,North Central Correctional Facility,"708.3,A",C Felony,,ASSLT WHILE PARTIC. IN FELONY,Violent,Assault,103.26
2018,11/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,48,Mount Pleasant Correctional Facility,124.401(1)(b)(7),B Felony,,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,12.86
2018,12/01/2017 12:00:00 AM,Work Release Granted,White - Hispanic,Male,30,Newton Correctional Facility,321J.2(C),D Felony,,OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,9.54
2018,01/01/2018 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,46,Newton Correctional Facility,712.3,C Felony,,ARSON 2ND DEGREE,Property,Arson,36.91
2018,03/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,33,Fort Dodge Correctional Facility,713.6A,D Felony,,BURGLARY 3RD DEGREE,Property,Burglary,11.91
2018,01/01/2018 12:00:00 AM,Parole Granted,American Indian or Alaska Native - Non-Hispanic,Male,29,Clarinda Correctional Facility,"902.8,B",Felony - Enhancement to Original Penalty,,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal,11.45
2018,04/01/2018 12:00:00 AM,Released to Special Sentence,Black - Non-Hispanic,Male,25,Newton Correctional Facility,908.5(2)A,Aggravated Misdemeanor,,SPECIAL SENTENCE REVOCATION - 1ST OFFENSE,Other,Other Criminal,22.4
2018,02/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,42,Mount Pleasant Correctional Facility,321.279(2),Aggravated Misdemeanor,,ELUDING,Public Order,Traffic,4.77
2018,11/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,39,Newton Correctional Facility,124.411,Felony - Enhancement to Original Penalty,,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,25.3
2018,05/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,32,North Central Correctional Facility,124.411,Felony - Enhancement to Original Penalty,,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,5.33
2018,05/01/2018 12:00:00 AM,Paroled to Detainer - Out of State,Black - Non-Hispanic,Male,28,Fort Dodge Correctional Facility,124.401(1)(c)(1),C Felony,,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Heroin LT 100gm",Drug,Trafficking,14.74
2018,03/01/2018 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,70,Newton Correctional Facility,709.4(2)(a),C Felony,,Sexual Abuse 3rd degree - Vict Mental Defect - Life Special Sentence,Violent,Sex,52.47
2018,02/01/2018 12:00:00 AM,Parole Granted,American Indian or Alaska Native - Hispanic,Female,25,Iowa Correctional Institution for Women,124.401(1)(c)(6),C Felony,,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,11.25
2018,08/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,56,Iowa Medical & Classification Center,124.401(1E),Felony - Enhancement to Original Penalty,,Proh Acts-Firearm Poss/Control-2X Penalty Enh,Drug,Trafficking,58.13
2018,08/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,38,Iowa Correctional Institution for Women,714.2(2),D Felony,,THEFT 2ND DEGREE,Property,Theft,2.93
2018,05/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,37,Mount Pleasant Correctional Facility,708.2A(3B),Aggravated Misdemeanor,,DOMESTIC ABUSE ASSAULT - 2ND OFFENSE,Violent,Assault,9.67
2018,01/01/2018 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,26,Mount Pleasant Correctional Facility,124.401(5)(c),D Felony,,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,3.19
2018,03/01/2018 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,27,Iowa Correctional Institution for Women,124.401(1)(c)(6),C Felony,,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,9.24
2018,08/01/2017 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,34,Newton Correctional Facility,908.5(2)B,D Felony,,SPECIAL SENTENCE REVOCATION - 2ND/SUB.,Violent,Other Criminal,8.29
2018,08/01/2017 12:00:00 AM,Released to Special Sentence,Black - Non-Hispanic,Male,37,Newton Correctional Facility,908.5(2)A,Aggravated Misdemeanor,,SPECIAL SENTENCE REVOCATION - 1ST OFFENSE,Other,Other Criminal,19.41
2018,07/01/2017 12:00:00 AM,Work Release Granted,White - Hispanic,Male,23,Mount Pleasant Correctional Facility,124.401(1)(d)(2),D Felony,,"Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,4.93
2018,10/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,46,Newton Correctional Facility,709.4,C Felony,,SEXUAL ABUSE 3RD DEGREE,Violent,Sex,205.86
2018,01/01/2018 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,25,Clarinda Correctional Facility,713.3,B Felony,,BURGLARY 1ST DEGREE,Violent,Other Violent,40.99
2018,11/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,39,Clarinda Correctional Facility,711.3,C Felony,,"ROBBERY 2ND DEGREE, 85%",Violent,Robbery,82.99
2018,11/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,39,Mount Pleasant Correctional Facility,713.6A,D Felony,,BURGLARY 3RD DEGREE,Property,Burglary,12.93
2018,01/01/2018 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,26,Newton Correctional Facility,321.561,Aggravated Misdemeanor,,DRIVING WHILE BARRED - MOTOR VEHICLE,Public Order,Traffic,4.14
2018,01/01/2018 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,24,Iowa Medical & Classification Center,709.8(1),C Felony,,Lascivious Acts With A Child - Life Special Sentence,Violent,Sex,52.2
2018,02/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,49,Newton Correctional Facility,124.401(1)(d)(2),D Felony,,"Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,7.11
2018,06/01/2018 12:00:00 AM,Paroled to Detainer - INS,Black - Non-Hispanic,Male,27,Mount Pleasant Correctional Facility,124.411,Felony - Enhancement to Original Penalty,,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,8.82
2018,08/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,33,Iowa Correctional Institution for Women,714.2(1),C Felony,,THEFT 1ST DEGREE,Property,Theft,5.69
2018,05/01/2018 12:00:00 AM,Work Release Granted,American Indian or Alaska Native - Non-Hispanic,Male,26,Fort Dodge Correctional Facility,124.401(5)(c),D Felony,,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,15.53
2018,07/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,37,Mount Pleasant Correctional Facility,124.401(1)(b)(7),B Felony,,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,37.63
2018,08/01/2017 12:00:00 AM,Parole Granted,Black - Hispanic,Male,44,Iowa Medical & Classification Center,321.561,Aggravated Misdemeanor,,DRIVING WHILE BARRED - MOTOR VEHICLE,Public Order,Traffic,4.31
2018,10/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,30,Newton Correctional Facility,726.6(7),Aggravated Misdemeanor,,Child Endangerment/No Injury,Violent,Other Violent,2.6
2018,08/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,26,Newton Correctional Facility,714.2(2),D Felony,,THEFT 2ND DEGREE,Property,Theft,6.88
2018,01/01/2018 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,25,Fort Dodge Correctional Facility,714.2(1),C Felony,,THEFT 1ST DEGREE,Property,Theft,19.93
2018,11/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,42,Mount Pleasant Correctional Facility,124.401(1)(c)(6),C Felony,,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,13.03
2018,10/01/2017 12:00:00 AM,Work Release Granted,White - Hispanic,Male,36,Mount Pleasant Correctional Facility,124.401(1)(b)(7),B Felony,,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,18.16
2018,11/01/2017 12:00:00 AM,Released to Special Sentence,Black - Non-Hispanic,Male,24,Newton Correctional Facility,908.5(2)A,Aggravated Misdemeanor,,SPECIAL SENTENCE REVOCATION - 1ST OFFENSE,Other,Other Criminal,19.51
2018,10/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,33,Fort Dodge Correctional Facility,711.3,C Felony,,"ROBBERY 2ND DEGREE, 85%",Violent,Robbery,92.8
2018,01/01/2018 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,31,Clarinda Correctional Facility,692A.111-A,Aggravated Misdemeanor,,Sex Offender - Registration Violation - 1st offense,Public Order,Other Public Order,15.26
2018,03/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,56,Mount Pleasant Correctional Facility,124.401(5)(c),D Felony,,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,13.13
2018,08/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,73,Newton Correctional Facility,713.5,C Felony,,BURGLARY 2ND DEGREE,Property,Burglary,44.38
2018,07/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,46,Mount Pleasant Correctional Facility,124.411,Felony - Enhancement to Original Penalty,,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,13.78
2018,05/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,45,Iowa Correctional Institution for Women,715A.2(2)(a),D Felony,,FORGERY,Property,Forgery/Fraud,11.12
2018,01/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,31,Iowa Medical & Classification Center,714.2(1),C Felony,,THEFT 1ST DEGREE,Property,Theft,15.07
2018,05/01/2018 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,27,Anamosa State Penitentiary,124.411,Felony - Enhancement to Original Penalty,,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,11.22
2018,04/01/2018 12:00:00 AM,Paroled w/Immediate Discharge,White - Non-Hispanic,Male,57,Fort Dodge Correctional Facility,124.401(5)(c),D Felony,,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,9.14
2018,08/01/2017 12:00:00 AM,Work Unit - Prison to Residential,White - Non-Hispanic,Male,37,Newton Correctional Facility,903B.1,Special Sentence 2005,,Special Supervision Sentence-B or C Felony/Lifetime Parole,Violent,Sex,3.45
2018,08/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,38,Iowa Correctional Institution for Women,124.401(1)(c)(8),C Felony,,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Other Subst Sched I, II, III",Drug,Trafficking,3.68
2018,04/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,44,North Central Correctional Facility,714.2(1),C Felony,,THEFT 1ST DEGREE,Property,Theft,8.49
2018,10/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,38,Mount Pleasant Correctional Facility,124.401(5)(c),D Felony,,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,6.18
2018,12/01/2017 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,62,Mount Pleasant Correctional Facility,715A.6(2)(B),D Felony,,"UNAUTH. USE OF CREDIT CARD, GREATER THAN $1K, LESS THAN $10K",Property,Forgery/Fraud,4.8
2018,12/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,26,Mount Pleasant Correctional Facility,124.401(1)(c)(6),C Felony,,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,13.39
2018,12/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,29,Clarinda Correctional Facility,714.2(1),C Felony,,THEFT 1ST DEGREE,Property,Theft,24.24
2018,05/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,52,Clarinda Correctional Facility,"902.8,A",Felony - Enhancement to Original Penalty,,HABITUAL OFFENDER (PERSON),Other,Other Criminal,17.93
2018,06/01/2018 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,32,Mount Pleasant Correctional Facility,711.3,C Felony,,"ROBBERY 2ND DEGREE, 85%",Violent,Robbery,13.52
2018,12/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,22,Clarinda Correctional Facility,726.6(6),D Felony,,Child Endangerment-Bodily Injury,Violent,Assault,13.91
2018,11/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,36,Mount Pleasant Correctional Facility,124.401(1)(b)(7),B Felony,,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,8.26
2018,11/01/2017 12:00:00 AM,Parole Granted,White - Hispanic,Male,37,Mount Pleasant Correctional Facility,708.2A(2)(d),Aggravated Misdemeanor,,Domestic Abuse Assault Impeding Flow of Air/Blood,Violent,Assault,15.43
2018,08/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,35,North Central Correctional Facility,124.401(1)(c)(6),C Felony,,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,7.8
2018,11/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,25,Anamosa State Penitentiary,708.8,D Felony,,GOING ARMED WITH INTENT,Violent,Assault,17.27
2018,10/01/2017 12:00:00 AM,Parole Granted,American Indian or Alaska Native - Non-Hispanic,Female,44,Iowa Correctional Institution for Women,124.401(5)(c),D Felony,,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,7.89
2018,12/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,47,Newton Correctional Facility,"902.8,A",Felony - Enhancement to Original Penalty,,HABITUAL OFFENDER (PERSON),Other,Other Criminal,17.3
2018,07/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,30,Newton Correctional Facility,"124.401(5),B",Aggravated Misdemeanor,,Proh Acts-Poss w/o Prescription - 2nd Offense,Drug,Drug Possession,5.76
2018,03/01/2018 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,49,North Central Correctional Facility,711.3,C Felony,,"ROBBERY 2ND DEGREE, 85%",Violent,Robbery,168.06
2018,04/01/2018 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,34,Newton Correctional Facility,124.411,Felony - Enhancement to Original Penalty,,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,61.61
2018,07/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,24,Iowa Correctional Institution for Women,715A.2(2)(a),D Felony,,FORGERY,Property,Forgery/Fraud,7.83
2018,05/01/2018 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,37,Iowa Correctional Institution for Women,124.401(5)(c),D Felony,,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,5.26
2018,12/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,47,Anamosa State Penitentiary,124.401(1)(b)(7),B Felony,,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,53.06
2018,08/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,24,Mount Pleasant Correctional Facility,713.5,C Felony,,BURGLARY 2ND DEGREE,Property,Burglary,14.9
2018,05/01/2018 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,26,North Central Correctional Facility,123.91(2),Aggravated Misdemeanor,,"ALCOHOL CHAPTER 123, 3RD AND SUBSEQUENT",Public Order,Alcohol,16.84
2018,08/01/2017 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,27,Fort Dodge Correctional Facility,124.401(1)(c)(3),C Felony,,"Proh. Acts - Mfg, Del, Consp or Poss w/Int. - Cocaine LT 10 gm",Drug,Trafficking,15.39
2018,06/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,51,Iowa Correctional Institution for Women,321J.2(C),D Felony,,OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,9.77
2018,10/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,35,Iowa Correctional Institution for Women,715A.6(2)(B),D Felony,,"UNAUTH. USE OF CREDIT CARD, GREATER THAN $1K, LESS THAN $10K",Property,Forgery/Fraud,5.56
2018,12/01/2017 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,52,Fort Dodge Correctional Facility,124.411,Felony - Enhancement to Original Penalty,,Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,32.66
2018,11/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,58,Newton Correctional Facility,123.91(2),Aggravated Misdemeanor,,"ALCOHOL CHAPTER 123, 3RD AND SUBSEQUENT",Public Order,Alcohol,2.83
2018,07/01/2017 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,27,Clarinda Correctional Facility,124.401(5)(c),D Felony,,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,14.8
2018,01/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,27,Iowa Correctional Institution for Women,124.401(1)(d)(2),D Felony,,"Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,4.97
2018,06/01/2018 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,49,Newton Correctional Facility,713.6A,D Felony,,BURGLARY 3RD DEGREE,Property,Burglary,8.42
2018,05/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,37,Iowa Correctional Institution for Women,124.401(1)(c)(6),C Felony,,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,16.97
2018,11/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,44,Anamosa State Penitentiary,124.401(1)(c)(6),C Felony,,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,8.39
2018,06/01/2018 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,22,North Central Correctional Facility,124.401(1)(d)(2),D Felony,,"Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,6.22
2018,11/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,26,Newton Correctional Facility,709.8(1),C Felony,,Lascivious Acts With A Child - Life Special Sentence,Violent,Sex,46.61
2018,10/01/2017 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,50,Fort Dodge Correctional Facility,124.401(1)(b)(7),B Felony,,"Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,36.91
2018,02/01/2018 12:00:00 AM,Paroled w/Immediate Discharge,White - Hispanic,Female,30,Iowa Correctional Institution for Women,714.2(3),Aggravated Misdemeanor,,THEFT 3RD DEGREE,Property,Theft,5.86
2018,06/01/2018 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,33,Mount Pleasant Correctional Facility,713.6A,D Felony,,BURGLARY 3RD DEGREE,Property,Burglary,3.59
